sequence_ID	prediction
CP015308.1_from_1844444_to_1869434_total_24991_3	EC:5.1.2.1
CP015308.1_from_2097324_to_2103366_total_6043_5	EC:1.6.99.3
CP015308.1_from_2781767_to_2812666_total_30900_6	EC:3.1.-.-;EC:3.6.4.12
CP015308.1_from_2814835_to_2820734_total_5900_6	EC:4.1.2.-
AP012330.1_from_6_to_2313744_total_2313739_159	EC:3.2.1.187
AP012330.1_from_6_to_2313744_total_2313739_378	EC:3.2.1.156
CP007212.1_from_589123_to_601122_total_12000_3	EC:4.3.2.3
CP007212.1_from_2565125_to_2573727_total_8603_8	EC:2.3.1.12
CP007213.1_from_2075857_to_2097921_total_22065_4	EC:1.1.1.38
CP007213.1_from_3437288_to_3445234_total_7947_4	EC:2.6.1.76
FN538970.1_from_8_to_4110535_total_4110528_441	EC:4.2.1.157
FN538970.1_from_8_to_4110535_total_4110528_442	EC:4.2.1.157
FN538970.1_from_8_to_4110535_total_4110528_443	EC:1.3.1.108
FN538970.1_from_8_to_4110535_total_4110528_467	EC:5.1.1.12
FN538970.1_from_8_to_4110535_total_4110528_757	EC:2.3.1.181
FN538970.1_from_8_to_4110535_total_4110528_1022	EC:1.3.8.1
CP012650.1_from_3_to_1705864_total_1705862_1144	EC:3.1.-.-;EC:3.6.4.12
CP012650.1_from_3_to_1705864_total_1705862_1766	EC:1.6.99.3
CP012650.1_from_1705891_to_3067648_total_1361758_192	EC:5.1.2.1
CP012650.1_from_1705891_to_3067648_total_1361758_197	EC:4.4.1.37
CP010432.1_from_91533_to_93009_total_1477_2	EC:3.4.11.5
CP010432.1_from_714371_to_716229_total_1859_1	EC:2.7.1.-
CP010432.1_from_1068629_to_1069751_total_1123_1	EC:4.4.1.13
CP010432.1_from_1758878_to_1760473_total_1596_2	EC:5.4.99.9
LT599049.1_from_2_to_2603896_total_2603895_2	EC:2.7.7.7
LT599049.1_from_2_to_2603896_total_2603895_3	EC:3.1.-.-;EC:3.6.4.12
LT599049.1_from_2_to_2603896_total_2603895_710	EC:7.6.2.2
LT599049.1_from_2_to_2603896_total_2603895_1166	EC:1.7.1.7
LT599049.1_from_2_to_2603896_total_2603895_2250	EC:2.3.1.18
LT599049.1_from_2_to_2603896_total_2603895_2412	EC:2.4.1.337
CP003725.1_from_1_to_1725024_total_1725024_1263	EC:3.1.26.11
CP003725.1_from_1725045_to_4174113_total_2449069_1083	EC:2.7.1.2
CP003725.1_from_1725045_to_4174113_total_2449069_1387	EC:2.6.1.90
CP002122.1_from_599389_to_605899_total_6511_3	EC:2.5.1.19
CP002122.1_from_851768_to_857838_total_6071_5	EC:7.1.1.-
CP002122.1_from_1178663_to_1187829_total_9167_3	EC:1.1.1.262
CP000156.1_from_44710_to_225200_total_180491_67	EC:1.3.99.33
CP000156.1_from_225219_to_279551_total_54333_21	EC:3.2.1.86
CP000156.1_from_844351_to_901401_total_57051_29	EC:3.1.-.-;EC:3.6.4.12
CP000156.1_from_907395_to_912051_total_4657_4	EC:2.6.1.52
CP000156.1_from_912097_to_913975_total_1879_2	EC:2.1.3.2
CP000156.1_from_1229004_to_1293253_total_64250_63	EC:2.5.1.-
CP000156.1_from_1743421_to_1791061_total_47641_36	EC:3.2.2.-;EC:3.5.1.-
CP000156.1_from_1848027_to_1872861_total_24835_15	EC:3.6.3.-
CP000233.1_from_961101_to_962004_total_904_1	EC:3.1.22.4
CP012122.1_from_50_to_3261407_total_3261358_91	EC:5.1.2.1
CP012122.1_from_50_to_3261407_total_3261358_96	EC:4.4.1.37
CP012122.1_from_50_to_3261407_total_3261358_1019	EC:3.1.-.-;EC:3.6.4.12
CP012122.1_from_50_to_3261407_total_3261358_3008	EC:1.6.99.3
CP000046.1_from_519498_to_519878_total_381_1	EC:1.4.1.13
CP000046.1_from_2222121_to_2222354_total_234_1	EC:5.4.2.10
CP007447.1_from_672101_to_673444_total_1344_1	EC:6.2.1.-
CP007447.1_from_972006_to_985949_total_13944_7	EC:1.4.1.2
CP007447.1_from_1107470_to_1178238_total_70769_65	EC:1.14.99.48
CP007447.1_from_1437045_to_1441132_total_4088_5	EC:2.3.2.17
CP007447.1_from_2077105_to_2125272_total_48168_45	EC:3.1.4.3
CP007447.1_from_2216893_to_2224987_total_8095_4	EC:2.3.1.-;EC:2.7.1.190
CP007447.1_from_2775645_to_2788777_total_13133_3	EC:5.4.2.2
CP007447.1_from_2804017_to_2847383_total_43367_20	EC:3.4.22.70
CP007447.1_from_2950321_to_2961336_total_11016_9	EC:3.4.24.29
CP007447.1_from_2961349_to_2983928_total_22580_1	EC:3.4.24.29
